NA,NA,NA,NA,NA, -1.42084E-03, -1.94112E-03, -2.52832E-03, -3.18075E-03, -3.89337E-03, -4.65719E-03, -5.45880E-03, -6.28020E-03, -7.09903E-03, -7.88925E-03, -8.62239E-03, -9.26922E-03, -9.80176E-03, -1.01955E-02, -1.04315E-02, -1.04982E-02, -1.03920E-02, -1.01185E-02, -9.69102E-03, -9.13006E-03, -8.46110E-03, -7.71258E-03, -6.91373E-03, -6.09258E-03, -5.27438E-03, -4.48052E-03, -3.72792E-03, -3.02895E-03, -2.39161E-03, -1.82011E-03, -1.31545E-03,NA,NA,NA,NA,
NA,NA,NA,NA, -7.67002E-04, -1.26276E-03, -1.84009E-03, -2.50208E-03, -3.24874E-03, -4.07597E-03, -4.97461E-03, -5.92960E-03, -6.91959E-03, -7.91700E-03, -8.88875E-03, -9.79784E-03, -1.06056E-02, -1.12744E-02, -1.17710E-02, -1.20695E-02, -1.21538E-02, -1.20194E-02, -1.16735E-02, -1.11348E-02, -1.04311E-02, -9.59695E-03, -8.67044E-03, -7.69012E-03, -6.69222E-03, -5.70864E-03, -4.76554E-03, -3.88279E-03, -3.07401E-03, -2.34709E-03, -1.70510E-03, -1.14722E-03, -6.69786E-04,NA,NA,NA,
NA,NA,NA, -5.21583E-05, -4.96365E-04, -1.03239E-03, -1.66876E-03, -2.41178E-03, -3.26425E-03, -4.22402E-03, -5.28253E-03, -6.42345E-03, -7.62178E-03, -8.84359E-03, -1.00468E-02, -1.11831E-02, -1.22007E-02, -1.30487E-02, -1.36814E-02, -1.40630E-02, -1.41709E-02, -1.39988E-02, -1.35569E-02, -1.28711E-02, -1.19799E-02, -1.09308E-02, -9.77510E-03, -8.56411E-03, -7.34494E-03, -6.15786E-03, -5.03474E-03, -3.99849E-03, -3.06352E-03, -2.23679E-03, -1.51915E-03, -9.06868E-04, -3.93027E-04,  3.12442E-05,NA,NA,
NA,NA,  6.92235E-04,  3.25218E-04, -1.37614E-04, -7.10050E-04, -1.40512E-03, -2.23381E-03, -3.20332E-03, -4.31507E-03, -5.56247E-03, -6.92873E-03, -8.38519E-03, -9.89046E-03, -1.13909E-02, -1.28231E-02, -1.41172E-02, -1.52037E-02, -1.60187E-02, -1.65120E-02, -1.66517E-02, -1.64287E-02, -1.58577E-02, -1.49752E-02, -1.38352E-02, -1.25035E-02, -1.10502E-02, -9.54407E-03, -8.04658E-03, -6.60858E-03, -5.26848E-03, -4.05206E-03, -2.97352E-03, -2.03741E-03, -1.24077E-03, -5.75348E-04, -2.95752E-05,  4.09852E-04,  7.56732E-04,NA,
NA,  1.43063E-03,  1.16195E-03,  8.00820E-04,  3.29271E-04, -2.71781E-04, -1.02148E-03, -1.93746E-03, -3.03366E-03, -4.31749E-03, -5.78663E-03, -7.42553E-03, -9.20246E-03, -1.10675E-02, -1.29525E-02, -1.47736E-02, -1.64362E-02, -1.78436E-02, -1.89060E-02, -1.95516E-02, -1.97347E-02, -1.94424E-02, -1.86954E-02, -1.75464E-02, -1.60721E-02, -1.43649E-02, -1.25219E-02, -1.06355E-02, -8.78646E-03, -7.03872E-03, -5.43783E-03, -4.01152E-03, -2.77196E-03, -1.71890E-03, -8.43133E-04, -1.29662E-04,  4.39654E-04,  8.84045E-04,  1.22239E-03,  1.47229E-03,
  2.12721E-03,  1.97085E-03,  1.73280E-03,  1.39276E-03,  9.27452E-04,  3.11120E-04, -4.83468E-04, -1.48324E-03, -2.71208E-03, -4.18712E-03, -5.91395E-03, -7.88143E-03, -1.00565E-02, -1.23801E-02, -1.47662E-02, -1.71035E-02, -1.92626E-02, -2.11076E-02, -2.25105E-02, -2.33669E-02, -2.36103E-02, -2.32216E-02, -2.22314E-02, -2.07163E-02, -1.87873E-02, -1.65758E-02, -1.42174E-02, -1.18380E-02, -9.54337E-03, -7.41337E-03, -5.50064E-03, -3.83274E-03, -2.41641E-03, -1.24293E-03, -2.93244E-04,  4.57528E-04,  1.03656E-03,  1.47083E-03,  1.78556E-03,  2.00334E-03,
  2.71108E-03,  2.60754E-03,  2.41895E-03,  2.12059E-03,  1.68304E-03,  1.07236E-03,  2.50878E-04, -8.20984E-04, -2.18153E-03, -3.86292E-03, -5.88460E-03, -8.24526E-03, -1.09144E-02, -1.38247E-02, -1.68682E-02, -1.98974E-02, -2.27338E-02, -2.51841E-02, -2.70625E-02, -2.82153E-02, -2.85438E-02, -2.80191E-02, -2.66873E-02, -2.46617E-02, -2.21057E-02, -1.92089E-02, -1.61630E-02, -1.31402E-02, -1.02793E-02, -7.67869E-03, -5.39636E-03, -3.45534E-03, -1.85133E-03, -5.61303E-04,  4.48841E-04,  1.21802E-03,  1.78556E-03,  2.18835E-03,  2.45928E-03,  2.62664E-03,
  3.37993E-03,  3.34944E-03,  3.23403E-03,  3.00442E-03,  2.62441E-03,  2.05041E-03,  1.23171E-03,  1.11932E-04, -1.36751E-03, -3.26152E-03, -5.61241E-03, -8.43800E-03, -1.17180E-02, -1.53804E-02, -1.92924E-02, -2.32585E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.23503E-02, -1.83784E-02, -1.45112E-02, -1.09301E-02, -7.75308E-03, -5.03890E-03, -2.79776E-03, -1.00498E-03,  3.85593E-04,  1.43035E-03,  2.18772E-03,  2.71293E-03,  3.05505E-03,  3.25590E-03,  3.34997E-03,
  4.13661E-03,  4.20307E-03,  4.18987E-03,  4.06351E-03,  3.78084E-03,  3.28750E-03,  2.51714E-03,  1.39193E-03, -1.74530E-04, -2.27054E-03, -4.97486E-03, -8.33972E-03, -1.23692E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.58869E-02, -1.13908E-02, -7.51481E-03, -4.30747E-03, -1.75140E-03,  2.13565E-04,  1.66962E-03,  2.70534E-03,  3.40548E-03,  3.84527E-03,  4.08818E-03,  4.18579E-03,  4.17884E-03,
  4.98054E-03,  5.17121E-03,  5.29457E-03,  5.31399E-03,  5.18000E-03,  4.82722E-03,  4.17167E-03,  3.10923E-03,  1.51686E-03, -7.41296E-04, -3.80030E-03, -7.77123E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.78493E-03, -3.03517E-03, -1.74406E-04,  1.91653E-03,  3.37441E-03,  4.33285E-03,  4.91066E-03,  5.20716E-03,  5.30169E-03,  5.25562E-03,  5.11511E-03,
  5.90643E-03,  6.25115E-03,  6.55013E-03,  6.76572E-03,  6.84412E-03,  6.71023E-03,  6.26201E-03,  5.36526E-03,  3.85088E-03,  1.51790E-03, -1.85284E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.96061E-04,  2.11330E-03,  4.23722E-03,  5.59231E-03,  6.37262E-03,  6.73893E-03,  6.81741E-03,  6.70325E-03,  6.46602E-03,  6.15530E-03,
  6.90295E-03,  7.43264E-03,  7.94945E-03,  8.41812E-03,  8.78440E-03,  8.96729E-03,  8.84928E-03,  8.26524E-03,  6.99228E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.33095E-03,  7.32474E-03,  8.41664E-03,  8.87742E-03,  8.91554E-03,  8.68386E-03,  8.29034E-03,  7.80892E-03,  7.28878E-03,
  7.95155E-03,  8.69588E-03,  9.47305E-03,  1.02551E-02,  1.09936E-02,  1.16090E-02,  1.19758E-02,  1.19032E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.19270E-02,  1.18805E-02,  1.14459E-02,  1.07966E-02,  1.00458E-02,  9.26460E-03,  8.49596E-03,
  9.02559E-03,  1.00098E-02,  1.10860E-02,  1.22399E-02,  1.34375E-02,  1.46124E-02,  1.56456E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.53776E-02,  1.43032E-02,  1.31201E-02,  1.19329E-02,  1.07990E-02,  9.74687E-03,
  1.00903E-02,  1.13313E-02,  1.27359E-02,  1.43102E-02,  1.60458E-02,  1.79051E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.74149E-02,  1.55859E-02,  1.38918E-02,  1.23620E-02,  1.10005E-02,
  1.11036E-02,  1.26061E-02,  1.43524E-02,  1.63763E-02,  1.87058E-02,  2.13511E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.06504E-02,  1.80870E-02,  1.58379E-02,  1.38874E-02,  1.22058E-02,
  1.20186E-02,  1.37709E-02,  1.58504E-02,  1.83230E-02,  2.12625E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.04790E-02,  1.76638E-02,  1.52961E-02,  1.33039E-02,
  1.27870E-02,  1.47590E-02,  1.71362E-02,  2.00180E-02,  2.35276E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.25889E-02,  1.92481E-02,  1.65018E-02,  1.42331E-02,
  1.33641E-02,  1.55068E-02,  1.81185E-02,  2.13275E-02,  2.53017E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.42359E-02,  2.04687E-02,  1.74207E-02,  1.49351E-02,
  1.37135E-02,  1.59619E-02,  1.87201E-02,  2.21358E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.52598E-02,  2.12207E-02,  1.79828E-02,  1.53619E-02,
  1.38123E-02,  1.60909E-02,  1.88910E-02,  2.23660E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.55527E-02,  2.14350E-02,  1.81425E-02,  1.54828E-02,
  1.36538E-02,  1.58838E-02,  1.86164E-02,  2.19958E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.50826E-02,  2.10913E-02,  1.78865E-02,  1.52891E-02,
  1.32487E-02,  1.53565E-02,  1.79200E-02,  2.10613E-02,  2.49386E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.39010E-02,  2.02222E-02,  1.72362E-02,  1.47950E-02,
  1.26236E-02,  1.45475E-02,  1.68592E-02,  1.96503E-02,  2.30321E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.21306E-02,  1.89067E-02,  1.62438E-02,  1.40357E-02,
  1.18170E-02,  1.35126E-02,  1.55157E-02,  1.78845E-02,  2.06814E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.99392E-02,  1.72555E-02,  1.49837E-02,  1.30622E-02,
  1.08752E-02,  1.23167E-02,  1.39825E-02,  1.58994E-02,  1.80857E-02,  2.05387E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.98935E-02,  1.75084E-02,  1.53921E-02,  1.35410E-02,  1.19343E-02,
  9.84649E-03,  1.10264E-02,  1.23520E-02,  1.38240E-02,  1.54269E-02,  1.71148E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.83570E-02,  1.66741E-02,  1.50055E-02,  1.34354E-02,  1.20011E-02,  1.07135E-02,
  8.77683E-03,  9.70304E-03,  1.07062E-02,  1.17681E-02,  1.28505E-02,  1.38827E-02,  1.47424E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.45244E-02,  1.36148E-02,  1.25667E-02,  1.14880E-02,  1.04406E-02,  9.45722E-03,
  7.70669E-03,  8.39850E-03,  9.11125E-03,  9.81478E-03,  1.04586E-02,  1.09620E-02,  1.12005E-02,  1.09885E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.03174E-02,  1.10528E-02,  1.11426E-02,  1.08317E-02,  1.02894E-02,  9.62860E-03,  8.92189E-03,  8.21422E-03,
  6.66897E-03,  7.15299E-03,  7.61538E-03,  8.01997E-03,  8.31220E-03,  8.41203E-03,  8.20525E-03,  7.53405E-03,  6.18895E-03,  3.90641E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.50486E-03,  6.54367E-03,  7.71171E-03,  8.25994E-03,  8.38508E-03,  8.23378E-03,  7.91138E-03,  7.49119E-03,  7.02289E-03,
  5.68835E-03,  5.99477E-03,  6.24955E-03,  6.41508E-03,  6.43835E-03,  6.24641E-03,  5.74150E-03,  4.79690E-03,  3.25541E-03,  9.33418E-04, -2.36507E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.52385E-03,  1.52916E-03,  3.65203E-03,  5.03959E-03,  5.86991E-03,  6.29305E-03,  6.42857E-03,  6.36794E-03,  6.17898E-03,  5.91067E-03,
  4.78157E-03,  4.94120E-03,  5.03002E-03,  5.01201E-03,  4.83913E-03,  4.44864E-03,  3.76093E-03,  2.67860E-03,  1.08827E-03, -1.13302E-03, -4.10466E-03, -7.92080E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.14628E-02, -6.97046E-03, -3.35863E-03, -5.72426E-04,  1.49052E-03,  2.95190E-03,  3.93326E-03,  4.54448E-03,  4.87877E-03,  5.01159E-03,  5.00196E-03,  4.89487E-03,
  3.95840E-03,  4.00057E-03,  3.96144E-03,  3.80847E-03,  3.50017E-03,  2.98486E-03,  2.20017E-03,  1.07387E-03, -4.73004E-04, -2.51961E-03, -5.13444E-03, -8.35971E-03, -1.21919E-02, -1.65615E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.55119E-02, -1.12592E-02, -7.56660E-03, -4.48655E-03, -2.00999E-03, -8.69836E-05,  1.35463E-03,  2.39469E-03,  3.11094E-03,  3.57345E-03,  3.84204E-03,  3.96590E-03,  3.98427E-03,
  3.22290E-03,  3.17411E-03,  3.04013E-03,  2.79276E-03,  2.39751E-03,  1.81322E-03,  9.92551E-04, -1.16410E-04, -1.56678E-03, -3.40718E-03, -5.67342E-03, -8.37766E-03, -1.14962E-02, -1.49577E-02, -1.86355E-02, -2.23470E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.14954E-02, -1.77744E-02, -1.41342E-02, -1.07450E-02, -7.71988E-03, -5.11819E-03, -2.95411E-03, -1.20890E-03,  1.57092E-04,  1.19413E-03,  1.95544E-03,  2.49203E-03,  2.84987E-03,  3.06851E-03,  3.18092E-03,
  2.57474E-03,  2.45801E-03,  2.25691E-03,  1.94780E-03,  1.50284E-03,  8.90179E-04,  7.48913E-05, -9.79226E-04, -2.30655E-03, -3.93504E-03, -5.88018E-03, -8.13765E-03, -1.06758E-02, -1.34294E-02, -1.62958E-02, -1.91375E-02, -2.17892E-02, -2.40738E-02, -2.58214E-02, -2.68925E-02, -2.71972E-02, -2.67096E-02, -2.54714E-02, -2.35855E-02, -2.12006E-02, -1.84900E-02, -1.56299E-02, -1.27799E-02, -1.00700E-02, -7.59377E-03, -5.40828E-03, -3.53809E-03, -1.98221E-03, -7.21646E-04,  2.73534E-04,  1.03845E-03,  1.60921E-03,  2.02011E-03,  2.30208E-03,  2.48198E-03,
  2.01043E-03,  1.84511E-03,  1.59939E-03,  1.25398E-03,  7.86951E-04,  1.74297E-04, -6.09078E-04, -1.58760E-03, -2.78242E-03, -4.20794E-03, -5.86744E-03, -7.74837E-03, -9.81775E-03, -1.20188E-02, -1.42701E-02, -1.64678E-02, -1.84920E-02, -2.02176E-02, -2.15273E-02, -2.23257E-02, -2.25524E-02, -2.21898E-02, -2.12660E-02, -1.98505E-02, -1.80451E-02, -1.59702E-02, -1.37507E-02, -1.15036E-02, -9.32777E-03, -7.29903E-03, -5.46833E-03, -3.86351E-03, -2.49298E-03, -1.35045E-03, -4.19618E-04,  3.21713E-04,  8.98296E-04,  1.33508E-03,  1.65564E-03,  1.88130E-03,
NA,  1.32634E-03,  1.05373E-03,  6.91214E-04,  2.21933E-04, -3.71800E-04, -1.10750E-03, -2.00100E-03, -3.06437E-03, -4.30333E-03, -5.71428E-03, -7.28117E-03, -8.97295E-03, -1.07419E-02, -1.25236E-02, -1.42397E-02, -1.58025E-02, -1.71225E-02, -1.81175E-02, -1.87214E-02, -1.88925E-02, -1.86188E-02, -1.79196E-02, -1.68429E-02, -1.54591E-02, -1.38533E-02, -1.21151E-02, -1.03306E-02, -8.57529E-03, -6.90969E-03, -5.37759E-03, -4.00633E-03, -2.80877E-03, -1.78607E-03, -9.30781E-04, -2.29746E-04,  3.33410E-04,  7.76342E-04,  1.11660E-03,  1.37073E-03,
