NA,NA,NA,NA,NA, -1.70423E-03, -2.26622E-03, -2.89905E-03, -3.60092E-03, -4.36649E-03, -5.18627E-03, -6.04607E-03, -6.92687E-03, -7.80492E-03, -8.65251E-03, -9.43921E-03, -1.01336E-02, -1.07056E-02, -1.11286E-02, -1.13821E-02, -1.14534E-02, -1.13388E-02, -1.10441E-02, -1.05841E-02, -9.98095E-03, -9.26215E-03, -8.45838E-03, -7.60100E-03, -6.71996E-03, -5.84212E-03, -4.99015E-03, -4.18198E-03, -3.43063E-03, -2.74459E-03, -2.12829E-03, -1.58285E-03,NA,NA,NA,NA,
NA,NA,NA,NA, -1.02083E-03, -1.55852E-03, -2.18260E-03, -2.89628E-03, -3.69953E-03, -4.58801E-03, -5.55209E-03, -6.57594E-03, -7.63705E-03, -8.70623E-03, -9.74833E-03, -1.07238E-02, -1.15912E-02, -1.23098E-02, -1.28437E-02, -1.31646E-02, -1.32549E-02, -1.31097E-02, -1.27369E-02, -1.21569E-02, -1.14000E-02, -1.05036E-02, -9.50882E-03, -8.45696E-03, -7.38673E-03, -6.33196E-03, -5.32034E-03, -4.37278E-03, -3.50359E-03, -2.72111E-03, -2.02854E-03, -1.42506E-03, -9.06877E-04,NA,NA,NA,
NA,NA,NA, -2.71873E-04, -7.56883E-04, -1.33924E-03, -2.02781E-03, -2.82913E-03, -3.74609E-03, -4.77647E-03, -5.91129E-03, -7.13348E-03, -8.41680E-03, -9.72548E-03, -1.10149E-02, -1.22336E-02, -1.33260E-02, -1.42371E-02, -1.49174E-02, -1.53276E-02, -1.54433E-02, -1.52574E-02, -1.47811E-02, -1.40428E-02, -1.30845E-02, -1.19575E-02, -1.07174E-02, -9.41905E-03, -8.11261E-03, -6.84075E-03, -5.63701E-03, -4.52542E-03, -3.52107E-03, -2.63119E-03, -1.85669E-03, -1.19368E-03, -6.34966E-04, -1.71315E-04,NA,NA,
NA,NA,  5.09817E-04,  1.04436E-04, -4.02729E-04, -1.02602E-03, -1.77899E-03, -2.67301E-03, -3.71557E-03, -4.90814E-03, -6.24388E-03, -7.70533E-03, -9.26252E-03, -1.08720E-02, -1.24772E-02, -1.40104E-02, -1.53974E-02, -1.65628E-02, -1.74378E-02, -1.79674E-02, -1.81170E-02, -1.78766E-02, -1.72622E-02, -1.63137E-02, -1.50898E-02, -1.36618E-02, -1.21052E-02, -1.04933E-02, -8.89145E-03, -7.35327E-03, -5.91906E-03, -4.61570E-03, -3.45797E-03, -2.45058E-03, -1.59043E-03, -8.68951E-04, -2.74107E-04,  2.07936E-04,  5.91558E-04,NA,
NA,  1.28713E-03,  9.83685E-04,  5.81676E-04,  6.23788E-05, -5.94017E-04, -1.40734E-03, -2.39583E-03, -3.57385E-03, -4.94904E-03, -6.51893E-03, -8.26733E-03, -1.01611E-02, -1.21480E-02, -1.41564E-02, -1.60975E-02, -1.78709E-02, -1.93731E-02, -2.05078E-02, -2.11973E-02, -2.13924E-02, -2.10789E-02, -2.02796E-02, -1.90510E-02, -1.74762E-02, -1.56542E-02, -1.36887E-02, -1.16780E-02, -9.70714E-03, -7.84344E-03, -6.13454E-03, -4.60934E-03, -3.28052E-03, -2.14786E-03, -1.20185E-03, -4.26995E-04,  1.95505E-04,  6.85593E-04,  1.06290E-03,  1.34580E-03,
  2.02262E-03,  1.83603E-03,  1.56177E-03,  1.17865E-03,  6.62494E-04, -1.33492E-05, -8.76960E-04, -1.95598E-03, -3.27482E-03, -4.85075E-03, -6.68911E-03, -8.77778E-03, -1.10818E-02, -1.35394E-02, -1.60602E-02, -1.85277E-02, -2.08061E-02, -2.27526E-02, -2.42323E-02, -2.51353E-02, -2.53913E-02, -2.49801E-02, -2.39341E-02, -2.23341E-02, -2.02972E-02, -1.79617E-02, -1.54702E-02, -1.29546E-02, -1.05259E-02, -8.26778E-03, -6.23550E-03, -4.45823E-03, -2.94349E-03, -1.68268E-03, -6.56454E-04,  1.60665E-04,  7.96633E-04,  1.27933E-03,  1.63490E-03,  1.88685E-03,
  2.61874E-03,  2.48455E-03,  2.25878E-03,  1.91569E-03,  1.42482E-03,  7.51204E-04, -1.43709E-04, -1.30012E-03, -2.75653E-03, -4.54462E-03, -6.68250E-03, -9.16647E-03, -1.19625E-02, -1.49988E-02, -1.81622E-02, -2.13003E-02, -2.42300E-02, -2.67546E-02, -2.86862E-02, -2.98698E-02, -3.02060E-02, -2.96661E-02, -2.82961E-02, -2.62102E-02, -2.35731E-02, -2.05772E-02, -1.74177E-02, -1.42717E-02, -1.12830E-02, -8.55514E-03, -6.15039E-03, -4.09501E-03, -2.38683E-03, -1.00385E-03,  8.77639E-05,  9.27280E-04,  1.55476E-03,  2.00806E-03,  2.32113E-03,  2.52332E-03,
  3.30282E-03,  3.24185E-03,  3.08900E-03,  2.81385E-03,  2.37909E-03,  1.74014E-03,  8.45659E-04, -3.60697E-04, -1.93644E-03, -3.93383E-03, -6.39055E-03, -9.31761E-03, -1.26861E-02, -1.64149E-02, -2.03638E-02, -2.43342E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.34151E-02, -1.94292E-02, -1.55160E-02, -1.18612E-02, -8.59093E-03, -5.77308E-03, -3.42608E-03, -1.53150E-03, -4.72469E-05,  1.08090E-03,  1.91065E-03,  2.49742E-03,  2.89109E-03,  3.13452E-03,  3.26338E-03,
  4.07794E-03,  4.11486E-03,  4.06491E-03,  3.89345E-03,  3.55627E-03,  2.99841E-03,  2.15377E-03,  9.46333E-04, -7.05911E-04, -2.88316E-03, -5.65128E-03, -9.04451E-03, -1.30453E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.64680E-02, -1.20575E-02, -8.19396E-03, -4.94775E-03, -2.32252E-03, -2.74860E-04,  1.26582E-03,  2.38110E-03,  3.15211E-03,  3.65278E-03,  3.94665E-03,  4.08608E-03,  4.11290E-03,
  4.94366E-03,  5.10672E-03,  5.19532E-03,  5.17183E-03,  4.98616E-03,  4.57331E-03,  3.85164E-03,  2.72284E-03,  1.07540E-03, -1.20659E-03, -4.22720E-03, -8.05459E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.08474E-03, -3.44937E-03, -6.09574E-04,  1.51375E-03,  3.02934E-03,  4.05321E-03,  4.69436E-03,  5.04733E-03,  5.18980E-03,  5.18306E-03,  5.07406E-03,
